matched keypoints,2,3,4,5,6,7,8,9,10
SHITOMASI+BRISK,95,88,80,90,82,79,85,86,82
SHITOMASI+BRIEF,115,111,104,101,102,102,100,109,100
SHITOMASI+ORB,106,102,99,102,103,97,98,104,97
SHITOMASI+FREAK,86,90,86,88,86,80,81,86,85
SHITOMASI+SIFT,112,109,104,103,99,101,97,107,97
HARRIS+BRISK,12,10,14,15,16,16,15,23,21
HARRIS+BRIEF,14,11,15,20,24,26,16,24,23
HARRIS+ORB,12,12,15,18,24,20,15,24,22
HARRIS+FREAK,13,13,15,15,17,20,12,21,18
HARRIS+SIFT,17,14,11,16,19,22,13,24,22
FAST+BRISK,97,104,101,98,85,107,107,100,100
FAST+BRIEF,119,130,118,126,108,123,131,125,119
FAST+ORB,118,123,112,126,106,122,122,123,119
FAST+FREAK,98,99,91,98,85,99,102,101,105
FAST+SIFT,118,123,112,120,114,119,123,117,103
BRISK+BRISK,171,176,157,176,174,188,173,171,184
BRISK+BRIEF,178,205,185,179,183,195,207,189,183
BRISK+ORB,162,175,158,167,160,172,167,171,172
BRISK+FREAK,160,177,155,173,161,183,169,178,168
BRISK+SIFT,184,193,171,183,173,196,196,178,185
ORB+BRISK,73,74,79,85,79,92,90,88,91
ORB+BRIEF,49,43,45,59,53,78,68,84,66
ORB+ORB,67,70,72,84,91,101,92,93,93
ORB+FREAK,44,36,44,47,44,51,52,48,56
ORB+SIFT,67,79,78,80,82,95,95,94,94
AKAZE+BRISK,137,125,129,129,131,132,142,146,144
AKAZE+BRIEF,141,134,131,130,134,146,150,148,152
AKAZE+ORB,131,129,127,117,130,131,137,135,145
AKAZE+FREAK,126,129,127,121,122,133,144,147,138
AKAZE+AKAZE,138,138,133,127,129,146,147,151,150
AKAZE+SIFT,135,136,130,138,137,147,148,155,151
SIFT+BRISK,64,66,62,66,59,64,64,67,80
SIFT+BRIEF,86,78,76,85,69,74,76,70,88
SIFT+FREAK,65,72,64,66,59,59,64,65,79
SIFT+SIFT,82,81,85,95,90,82,83,103,105
